quad,year,month,stand,stand_size,AULPAL,BRASAL,CERPUR,DICPOL,DICSCO,DITFLE,DREUNC,EURPUL,HYLSPL,ORTFLA,PLESCH,POHNUT,POLJUN,POLPIL,PTICIL,PTIPUL,PTICC,SPLSPP,TETANG,TOMNIT,CETCUC,CETERI,CETNIV,CLAMIT,CLARAN,CLASTE,CLAAMA,CLACAP,CLACAR,CLACEN,CLACHL,CLACOC,CLACON,CLACOR,CLACRP,CLACRT,CLAGON,CLAGRA,CLAMUL,CLAPHY,CLAPYX,CLASQU,CLASUB,CLAUNC,CLAVER,PELAPH,PELMAL,PELPUL,PELRUF,STEALP,BRYSPP,CETHAL,CETPIN,EVEMES,HYPPHY,PARELE,PARSUL,PARAMB,PARHYP,PLAGLA,USNSPP,LECGRA
0G,1981,8,FD,25,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.01,80,NA,0.1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.1,0.1,0.1,0.1,NA,NA,NA,NA,0.01,NA,2,NA,NA,NA,0.1,0.1,0.01,0.01,0.01,NA,0.01,0.01,0.01,NA,0.01,NA
0I,1981,8,FD,25,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,85,NA,0.1,NA,NA,NA,NA,0.1,NA,NA,0.1,NA,NA,0.01,0.01,0.01,0.1,NA,NA,NA,1,NA,0.1,5,NA,NA,NA,0.01,0.1,0.01,0.01,0.01,NA,NA,0.01,0.01,NA,0.01,NA
4A,1981,8,FD,25,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,0.01,NA,NA,NA,NA,NA,0.1,NA,80,NA,0.1,0.01,NA,NA,NA,0.01,NA,NA,1,NA,0.01,NA,0.1,NA,0.1,NA,NA,NA,1,NA,NA,2,NA,NA,NA,0.01,1,0.01,0.01,0.01,NA,NA,0.01,0.01,NA,0.1,NA
4C,1981,8,FD,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,0.1,NA,85,NA,0.1,0.01,NA,NA,NA,0.01,NA,NA,0.1,NA,NA,0.01,1,NA,0.01,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,0.01,0.01,0.01,0.01,0.1,NA,0.01,0.01,0.01,NA,0.1,NA
4E,1981,8,FD,25,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,70,NA,0.1,0.01,NA,NA,NA,0.1,NA,NA,0.1,NA,NA,NA,0.1,0.01,0.1,NA,NA,NA,20,NA,NA,1,NA,NA,NA,0.01,0.1,0.01,0.01,0.1,NA,0.01,0.01,0.01,NA,0.1,NA
4G,1981,8,FD,25,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.01,60,NA,2,0.01,NA,NA,NA,0.01,NA,NA,1,NA,NA,0.1,2,NA,0.1,NA,NA,NA,25,NA,NA,0.1,NA,NA,NA,0.01,0.1,0.01,0.1,0.1,NA,NA,0.01,0.01,NA,0.1,NA
4I,1981,8,FD,25,NA,NA,NA,1,NA,NA,NA,NA,0.1,NA,0.01,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,80,NA,2,0.01,NA,NA,NA,NA,NA,NA,0.1,NA,NA,0.1,0.1,0.1,0.01,NA,NA,NA,1,NA,NA,5,NA,NA,NA,0.01,0.1,0.01,0.01,0.1,NA,0.01,0.01,0.01,NA,0.01,NA
8A,1981,8,FD,25,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,0.01,0.01,NA,NA,NA,NA,0.1,NA,65,NA,1,0.01,NA,NA,NA,0.01,NA,NA,1,NA,0.01,0.01,0.1,0.1,0.1,NA,NA,NA,2,NA,NA,3,NA,NA,NA,0.01,0.1,0.01,0.01,0.01,NA,NA,0.01,0.01,NA,0.01,NA
8C,1981,8,FD,25,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,80,NA,0.1,0.01,NA,NA,NA,0.01,NA,NA,0.1,NA,NA,NA,1,0.01,0.01,NA,NA,NA,4,NA,NA,5,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,NA,NA,0.01,0.01,NA,0.1,NA
8E,1981,8,FD,25,NA,NA,NA,0.01,NA,NA,NA,NA,0.01,NA,NA,NA,0.1,NA,NA,0.01,NA,NA,NA,NA,NA,0.1,0.1,75,0.1,2,NA,NA,NA,0.01,0.1,NA,NA,0.1,NA,NA,0.1,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,0.01,0.1,0.01,0.01,0.01,NA,NA,0.01,0.01,NA,0.1,NA
8G,1981,8,FD,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,80,0.1,0.01,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,0.1,0.1,0.1,NA,NA,NA,1,NA,NA,0.1,NA,NA,NA,0.01,0.1,0.01,0.01,0.01,NA,0.01,0.01,0.01,NA,0.1,NA
8I,1981,8,FD,25,NA,NA,NA,0.01,NA,NA,NA,NA,0.01,NA,0.01,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,75,NA,2,0.1,NA,NA,NA,0.01,NA,NA,0.1,NA,0.01,0.01,1,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,0.01,1,0.01,0.01,0.1,NA,0.1,0.01,0.01,NA,0.1,NA
0A,1981,8,WY,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1,NA,NA,NA,NA,NA,NA,NA,0.1,NA,2,NA,0.01,0.01,3,0.01,0.1,0.01,NA,NA,NA,0.01,0.1,2,NA,NA,NA,0.01,0.01,0.01,NA,NA,NA,NA,0.1,0.01,NA,0.01,NA
0C,1981,8,WY,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,0.01,0.01,NA,0.1,NA,NA,0.01,0.1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.01,0.01,0.1,NA,0.01,NA,NA,0.1,0.01,NA,0.01,NA
0E,1981,8,WY,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.1,NA,5,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.1,NA,0.01,NA,0.1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0.01,0.01,0.01,NA,0.01,NA,NA,0.1,0.01,NA,0.01,NA
0G,1981,8,WY,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,0.01,NA,2,NA,NA,NA,NA,NA,NA,0.01,0.1,NA,0.01,NA,0.1,NA,0.1,NA,0.1,0.01,NA,NA,NA,NA,NA,3,NA,NA,NA,0.01,NA,0.01,0.01,0.01,NA,NA,0.01,0.01,NA,0.01,NA
0I,1981,8,WY,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,30,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.1,NA,0.1,NA,0.1,0.01,0.1,0.01,NA,NA,NA,NA,NA,10,NA,NA,NA,0.01,0.01,0.01,NA,NA,NA,NA,0.01,0.01,NA,0.01,NA
4A,1981,8,WY,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,0.01,NA,2,NA,NA,NA,0.01,NA,NA,0.01,0.1,NA,0.01,NA,0.01,NA,0.1,NA,1,0.01,NA,NA,NA,0.01,NA,1,NA,NA,NA,0.01,0.01,0.01,0.01,NA,NA,NA,0.01,NA,NA,0.01,0.01
4C,1981,8,WY,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,0.01,NA,3,NA,NA,NA,NA,NA,0.01,NA,0.1,NA,0.1,NA,0.01,NA,0.01,NA,0.1,NA,NA,NA,0.1,NA,NA,1,NA,NA,NA,0.01,0.01,0.01,NA,0.1,NA,NA,0.01,0.01,NA,0.01,NA
4E,1981,8,WY,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,0.01,0.1,NA,0.1,NA,0.01,NA,0.1,0.01,0.1,0.01,NA,NA,0.01,NA,0.1,3,NA,NA,NA,0.01,0.01,0.01,NA,0.01,NA,NA,0.01,0.01,NA,0.01,NA
4G,1981,8,WY,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.01,0.1,NA,1,NA,0.01,NA,0.1,0.1,NA,NA,NA,NA,NA,0.01,0.1,1,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,NA,NA,0.01,0.01,NA,0.01,NA
4I,1981,8,WY,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,0.01,NA,2,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.1,NA,0.01,NA,1,0.01,0.1,NA,NA,NA,0.1,NA,NA,15,NA,NA,NA,0.01,0.01,0.1,NA,0.01,NA,NA,0.1,0.01,NA,0.01,NA
8A,1981,8,WY,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0.1,NA,4,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.1,NA,NA,NA,0.1,NA,1,0.01,NA,NA,0.1,NA,0.1,5,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,0.1,0.01,NA,0.01,NA
8C,1981,8,WY,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1,NA,NA,NA,NA,NA,0.01,NA,0.01,NA,0.1,NA,NA,0.01,0.01,0.1,0.1,0.01,NA,NA,0.01,0.01,NA,NA,NA,NA,NA,0.01,0.01,0.01,NA,0.01,NA,NA,0.01,0.01,NA,0.01,NA
8E,1981,8,WY,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,0.1,NA,2,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.1,NA,0.01,NA,0.01,NA,0.1,NA,NA,NA,0.01,NA,0.01,5,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,NA,NA,0.01,NA,NA,0.01,NA
8G,1981,8,WY,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.1,NA,0.01,NA,0.1,NA,1,NA,NA,0.01,0.01,NA,0.01,2,NA,NA,NA,0.01,0.01,0.01,NA,0.01,NA,NA,0.1,0.01,NA,0.01,0.01
8I,1981,8,WY,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,0.01,3,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.1,NA,0.1,NA,0.01,NA,0.1,NA,NA,NA,NA,NA,0.1,2,NA,NA,NA,0.01,0.01,0.1,0.01,0.01,NA,NA,0.1,0.01,NA,0.01,0.01
0A,1981,8,WO,25,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,0.1,1,NA,NA,NA,NA,NA,NA,NA,0.01,NA,6,NA,NA,NA,NA,NA,NA,0.01,0.01,NA,0.1,0.01,0.01,0.01,0.1,0.1,1,NA,NA,NA,0.1,NA,NA,1,NA,NA,NA,0.01,0.01,0.1,NA,0.01,NA,0.01,1,0.1,NA,0.01,NA
0C,1981,8,WO,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,0.01,0.01,NA,NA,NA,NA,NA,0.01,0.01,0.1,0.01,NA,NA,5,NA,NA,0.1,NA,NA,NA,NA,0.01,0.01,NA,NA,NA,NA,0.01,NA,NA,0.01,NA
0E,1981,8,WO,25,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,0.01,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0.1,NA,3,NA,NA,NA,NA,NA,NA,1,0.1,NA,0.1,0.01,NA,0.01,0.1,0.1,0.1,NA,NA,NA,4,NA,NA,2,NA,NA,NA,NA,NA,0.01,NA,NA,NA,0.01,0.01,0.1,NA,NA,NA
0G,1981,8,WO,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,0.1,NA,60,NA,NA,NA,NA,NA,NA,0.1,0.01,NA,0.01,NA,NA,NA,1,0.01,0.1,NA,NA,NA,10,NA,NA,4,NA,NA,NA,NA,0.01,0.01,NA,NA,NA,NA,NA,0.01,NA,NA,NA
0I,1981,8,WO,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,0.1,0.01,NA,NA,NA,0.01,NA,0.1,NA,0.1,NA,NA,NA,0.1,NA,NA,1,NA,NA,NA,0.01,0.01,0.01,NA,0.01,NA,NA,0.01,0.01,NA,0.01,NA
4A,1981,8,WO,25,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,1,0.1,NA,0.01,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,0.01,0.01,NA,2,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.01,0.01,0.1,NA,0.01,NA,NA,0.1,0.01,NA,0.1,NA
4C,1981,8,WO,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,0.01,NA,0.01,0.01,NA,0.01,NA,0.01,0.01,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,0.01,0.01,0.01,NA,NA,0.1,NA,NA,0.01,NA
4E,1981,8,WO,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.1,NA,20,NA,NA,NA,NA,NA,NA,NA,0.01,NA,0.1,NA,NA,0.01,0.1,NA,0.1,0.01,NA,NA,3,NA,NA,1,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,NA,NA,0.01,NA,NA,0.01,NA
4G,1981,8,WO,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.1,NA,5,NA,NA,NA,NA,NA,NA,0.01,0.01,NA,2,NA,0.01,NA,3,NA,0.1,NA,NA,NA,0.1,NA,NA,0.1,NA,NA,NA,0.01,NA,0.01,NA,NA,NA,NA,0.01,NA,NA,0.01,NA
4I,1981,8,WO,25,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,0.1,NA,5,NA,NA,NA,NA,NA,NA,0.01,0.1,NA,NA,NA,NA,0.01,2,0.01,0.1,NA,NA,NA,10,NA,NA,2,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,NA,0.01,0.01,NA,NA,0.01,NA
8A,1981,8,WO,25,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,0.1,NA,0.1,1,NA,NA,NA,NA,NA,NA,NA,0.01,NA,30,NA,0.01,NA,NA,NA,NA,0.01,0.01,NA,2,NA,0.01,NA,1,NA,1,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,0.01,NA,0.01,NA,NA,0.01,0.01,NA,0.01,NA
8C,1981,8,WO,25,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.01,0.1,0.01,NA,NA,0.01,0.01,NA,1,NA
8E,1981,8,WO,25,NA,NA,NA,0.1,NA,NA,NA,NA,0.01,NA,NA,NA,0.01,NA,NA,0.1,NA,NA,NA,NA,NA,0.01,NA,1,NA,NA,NA,NA,NA,NA,NA,0.01,NA,3,NA,NA,NA,3,NA,1,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,0.01,0.01,0.01,NA,0.01,NA,NA,0.01,0.01,NA,0.01,NA
8G,1981,8,WO,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,0.01,0.01,0.1,NA,2,NA,NA,0.01,2,0.01,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,0.01,0.1,0.01,0.1,0.01,NA,0.01,0.01,0.01,NA,2,NA
8I,1981,8,WO,25,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1,0.01,NA,NA,8,0.1,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,0.01,0.01,0.01,NA,0.01,NA,NA,0.01,NA,NA,0.01,NA
0A,1981,8,MD,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,NA,NA,NA,NA,NA,NA,NA,0.1,NA,60,NA,NA,NA,NA,NA,NA,1,1,NA,4,NA,NA,NA,7,NA,1,0.01,NA,NA,5,NA,NA,NA,NA,NA,NA,0.01,0.01,0.1,0.01,0.01,NA,0.01,0.1,0.01,NA,0.01,NA
0C,1981,8,MD,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.1,NA,85,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1,NA,0.01,NA,10,0.1,0.1,NA,NA,NA,0.1,NA,NA,1,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,NA,0.01,0.1,0.01,NA,0.01,NA
0E,1981,8,MD,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.1,NA,70,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1,NA,0.01,NA,1,NA,NA,NA,NA,NA,0.1,NA,NA,0.1,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,NA,NA,0.01,0.01,NA,0.01,NA
